time_s,theta_rad
0.0,0.028228550077891896
1.0,0.025721209368142386
2.0,0.02321386865839288
3.0,0.02070652794864337
4.0,0.018199187238893865
5.0,0.015825352397612538
6.0,0.013771931640654848
7.0,0.011718510883697159
8.0,0.00966509012673947
9.0,0.007611669369781781
10.0,0.00582568224684908
11.0,0.00422689866773387
12.0,0.002628115088618658
13.0,0.0010293315095034504
14.0,-0.0005694520696117597
15.0,-0.0017668516947777911
16.0,-0.0029107334594172655
17.0,-0.0040546152240567394
18.0,-0.005198496988696215
19.0,-0.006192962056590702
20.0,-0.006490149206341918
21.0,-0.006787336356093134
22.0,-0.0070845235058443505
23.0,-0.007381710655595567
24.0,-0.007795929510847163
25.0,-0.008341809034786684
26.0,-0.008887688558726205
27.0,-0.009433568082665728
28.0,-0.00997944760660525
29.0,-0.010085793507866663
30.0,-0.010056898294457887
31.0,-0.010028003081049112
32.0,-0.009999107867640338
33.0,-0.009965501909842035
34.0,-0.009856524041811265
35.0,-0.009747546173780496
36.0,-0.009638568305749726
37.0,-0.009529590437718958
38.0,-0.009371307519471007
39.0,-0.009122632009158227
40.0,-0.008873956498845446
41.0,-0.008625280988532665
42.0,-0.008376605478219884
43.0,-0.007989247922504673
44.0,-0.007526245614751774
45.0,-0.0070632433069988745
46.0,-0.006600240999245973
47.0,-0.006137238691493074
48.0,-0.005550330162392961
49.0,-0.0049556774944586515
50.0,-0.004361024826524338
51.0,-0.0037663721585900253
52.0,-0.0031601996856320588
53.0,-0.002516587846347217
54.0,-0.0018729760070623756
55.0,-0.0012293641677775342
56.0,-0.0005857523284926924
57.0,0.0002574513462748347
58.0,0.0012780699859158604
59.0,0.002298688625556886
60.0,0.0033193072651979114
61.0,0.004339925904838948
62.0,0.005216965322789555
63.0,0.0060632377646636666
64.0,0.00690951020653776
65.0,0.007755782648411854
66.0,0.008544820261706353
67.0,0.008904596660653734
68.0,0.009264373059601125
69.0,0.009624149458548512
70.0,0.009983925857495898
71.0,0.010156154082157585
72.0,0.010060456343553986
73.0,0.009964758604950387
74.0,0.009869060866346788
75.0,0.009773363127743188
76.0,0.009560684422280698
77.0,0.009299263647293672
78.0,0.009037842872306644
79.0,0.008776422097319617
80.0,0.008515001322332589
81.0,0.008515001322332618
82.0,0.00851500132233265
83.0,0.008515001322332679
84.0,0.00851500132233271
85.0,0.008515001322332722
86.0,0.008515001322332691
87.0,0.008515001322332662
88.0,0.008515001322332632
89.0,0.008515001322332601
90.0,0.008515001322332589
91.0,0.008515001322332589
92.0,0.008515001322332589
93.0,0.008515001322332589
94.0,0.008515001322332589
95.0,0.008515001322332589
96.0,0.008515001322332589
97.0,0.008515001322332589
98.0,0.008515001322332589
99.0,0.008523487671104902
100.0,0.008571576980814679
101.0,0.008619666290524457
102.0,0.008667755600234233
103.0,0.008715844909944011
104.0,0.00874944737524765
105.0,0.008766752140594386
106.0,0.008784056905941121
107.0,0.008801361671287856
108.0,0.00881866643663459
109.0,0.008772185303941677
110.0,0.008706077741082719
111.0,0.00863997017822376
112.0,0.008573862615364802
113.0,0.008504113358840442
114.0,0.00837609700366965
115.0,0.00824808064849886
116.0,0.00812006429332807
117.0,0.007992047938157278
118.0,0.007849770850848854
119.0,0.007681349087954766
120.0,0.00751292732506068
121.0,0.007344505562166593
122.0,0.007176083799272502
123.0,0.0069907045930413325
124.0,0.0067960758722626574
125.0,0.006601447151483982
126.0,0.006406818430705303
127.0,0.006212189709926631
128.0,0.00555664066233967
129.0,0.00487228409432719
130.0,0.0041879275263147255
131.0,0.0035035709583022307
132.0,0.002974047652157098
133.0,0.0029477324470808417
134.0,0.0029214172420045864
135.0,0.00289510203692833
136.0,0.002868786831852074
137.0,0.003127414799865217
138.0,0.00363932558840227
139.0,0.0041512363769393235
140.0,0.004663147165476377
141.0,0.005175057954013429
142.0,0.006031508060778358
143.0,0.006961788021449258
144.0,0.007892067982120159
145.0,0.008822347942791062
146.0,0.009787739563301737
147.0,0.01101646863261073
148.0,0.01224519770191972
149.0,0.013473926771228712
150.0,0.014702655840537702
151.0,0.01595483812986462
152.0,0.01724052501921715
153.0,0.018526211908569703
154.0,0.019811898797922205
155.0,0.021097585687274732
156.0,0.022311074504714007
157.0,0.02349448079218945
158.0,0.024677887079664843
159.0,0.025861293367140263
160.0,0.02704469965461568
161.0,0.0280139495348512
162.0,0.028983199415086765
163.0,0.029952449295322307
164.0,0.03092169917555785
165.0,0.031786483181480946
166.0,0.03240054908905424
167.0,0.033014614996627514
168.0,0.03362868090420079
169.0,0.034242746811774055
170.0,0.03456496189885929
171.0,0.03468288141160288
172.0,0.034800800924346474
173.0,0.034918720437090066
174.0,0.03503663994983366
175.0,0.034497051915989396
176.0,0.03386979620926676
177.0,0.03324254050254411
178.0,0.03261528479582147
179.0,0.03210093810650725
180.0,0.032113500165098965
181.0,0.03212606222369068
182.0,0.0321386242822824
183.0,0.03215118634087412
184.0,0.03223275142617247
185.0,0.03239194491651577
186.0,0.03255113840685908
187.0,0.03271033189720239
188.0,0.0328695253875457
189.0,0.033557845206756996
190.0,0.034408973127158446
191.0,0.0352601010475599
192.0,0.036111228967961366
193.0,0.036926639244061234
194.0,0.037170567211336034
195.0,0.03741449517861083
196.0,0.037658423145885626
197.0,0.037902351113160426
198.0,0.03792822297911974
199.0,0.03755432532600066
200.0,0.03718042767288157
201.0,0.03680653001976249
202.0,0.0364326323666434
203.0,0.0357486176005841
204.0,0.03489544804564831
