time_s,theta_rad
0.0,0.01004119652463046
1.0,0.010306513512078504
2.0,0.010571830499526548
3.0,0.010837147486974591
4.0,0.011102464474422636
5.0,0.011367781461870681
6.0,0.011633098449318724
7.0,0.011898415436766768
8.0,0.012163732424214813
9.0,0.012429049411662858
10.0,0.012694366399110901
11.0,0.012959683386558944
12.0,0.01322500037400699
13.0,0.013490317361455033
14.0,0.013755634348903078
15.0,0.01402095133635112
16.0,0.014286268323799166
17.0,0.014551585311247209
18.0,0.014816902298695254
19.0,0.015082219286143297
20.0,0.015347536273591342
21.0,0.015612853261039387
22.0,0.01587817024848743
23.0,0.016143487235935474
24.0,0.01640880422338352
25.0,0.016674121210831564
26.0,0.016810053109142607
27.0,0.016918572912297505
28.0,0.017027092715452403
29.0,0.0171356125186073
30.0,0.0172441323217622
31.0,0.017352652124917097
32.0,0.017461171928071995
33.0,0.017569691731226893
34.0,0.01767821153438179
35.0,0.01778673133753669
36.0,0.017895251140691588
37.0,0.018003770943846486
38.0,0.018112290747001384
39.0,0.018220810550156282
40.0,0.01832933035331118
41.0,0.01843785015646608
42.0,0.018546369959620976
43.0,0.018654889762775875
44.0,0.018763409565930773
45.0,0.01887192936908567
46.0,0.01898044917224057
47.0,0.019088968975395467
48.0,0.01919748877855037
49.0,0.019306008581705263
50.0,0.01941452838486016
51.0,0.019421101073517046
52.0,0.01937286348556209
53.0,0.019324625897607136
54.0,0.01927638830965218
55.0,0.019228150721697226
56.0,0.01917991313374227
57.0,0.019131675545787315
58.0,0.01908343795783236
59.0,0.019035200369877405
60.0,0.01898696278192245
61.0,0.018938725193967495
62.0,0.01889048760601254
63.0,0.018842250018057585
64.0,0.01879401243010263
65.0,0.018745774842147674
66.0,0.01869753725419272
67.0,0.018649299666237764
68.0,0.01860106207828281
69.0,0.018552824490327854
70.0,0.0185045869023729
71.0,0.018456349314417947
72.0,0.018408111726462992
73.0,0.018359874138508037
74.0,0.01831163655055308
75.0,0.018263398962598126
76.0,0.018140610300429242
77.0,0.017935596188759704
78.0,0.017730582077090162
79.0,0.017525567965420624
80.0,0.017320553853751086
81.0,0.017115539742081548
82.0,0.016910525630412006
83.0,0.01670551151874247
84.0,0.016500497407072927
85.0,0.016295483295403392
86.0,0.01609046918373385
87.0,0.015885455072064313
88.0,0.01568044096039477
89.0,0.015475426848725235
90.0,0.015270412737055695
91.0,0.015065398625386157
92.0,0.014860384513716617
93.0,0.014655370402047077
94.0,0.014450356290377537
95.0,0.014245342178708001
96.0,0.01404032806703846
97.0,0.013835313955368921
98.0,0.013630299843699383
99.0,0.013425285732029843
100.0,0.013220271620360304
101.0,0.012854150150506123
102.0,0.012113360405803955
103.0,0.011372570661101766
104.0,0.010631780916399597
105.0,0.009890991171697418
106.0,0.00915020142699524
107.0,0.008409411682293061
108.0,0.007668621937590882
109.0,0.006927832192888703
110.0,0.006187042448186525
111.0,0.005446252703484346
112.0,0.0047054629587821774
113.0,0.003964673214079988
114.0,0.0032238834693778095
115.0,0.002483093724675641
116.0,0.0017423039799734624
117.0,0.0010015142352712836
118.0,0.0002607244905690944
119.0,-0.00048006525413306356
120.0,-0.0012208549988352527
121.0,-0.0019616447435374315
122.0,-0.0027024344882396103
123.0,-0.0034432242329417804
124.0,-0.004184013977643957
125.0,-0.004924803722346138
126.0,-0.005627441488848446
127.0,-0.006065134962296024
128.0,-0.006502828435743621
129.0,-0.006940521909191219
130.0,-0.007378215382638791
131.0,-0.00781590885608639
132.0,-0.008253602329533986
133.0,-0.008691295802981572
134.0,-0.009128989276429156
135.0,-0.009566682749876754
136.0,-0.010004376223324337
137.0,-0.010442069696771935
138.0,-0.01087976317021952
139.0,-0.011317456643667118
140.0,-0.011755150117114702
141.0,-0.0121928435905623
142.0,-0.012630537064009885
143.0,-0.013068230537457471
144.0,-0.013505924010905068
145.0,-0.013943617484352664
146.0,-0.01438131095780025
147.0,-0.014819004431247836
148.0,-0.015256697904695433
149.0,-0.01569439137814303
150.0,-0.0161320848515906
151.0,-0.016569778325038198
152.0,-0.017109361032300357
153.0,-0.01765418803836178
154.0,-0.0181990150444232
155.0,-0.018743842050484637
156.0,-0.019288669056546075
157.0,-0.019833496062607495
158.0,-0.020378323068668915
159.0,-0.020923150074730352
160.0,-0.021467977080791775
161.0,-0.022012804086853195
162.0,-0.022557631092914632
163.0,-0.023102458098976052
164.0,-0.02364728510503749
165.0,-0.02419211211109891
166.0,-0.02473693911716035
167.0,-0.02528176612322177
168.0,-0.025826593129283204
169.0,-0.026371420135344627
170.0,-0.02691624714140605
171.0,-0.027461074147467485
172.0,-0.028005901153528922
173.0,-0.028550728159590345
174.0,-0.029095555165651765
175.0,-0.029640382171713203
176.0,-0.03018520917777464
177.0,-0.03028088456650068
178.0,-0.030247074804283205
179.0,-0.03021326504206573
180.0,-0.030179455279848257
181.0,-0.03014564551763078
182.0,-0.030111835755413305
183.0,-0.03007802599319583
184.0,-0.030044216230978353
185.0,-0.030010406468760877
186.0,-0.0299765967065434
187.0,-0.029942786944325925
188.0,-0.02990897718210845
189.0,-0.029875167419890974
190.0,-0.029841357657673498
191.0,-0.029807547895456022
192.0,-0.029773738133238546
193.0,-0.029739928371021074
194.0,-0.029706118608803598
195.0,-0.029672308846586122
196.0,-0.029638499084368646
197.0,-0.02960468932215117
198.0,-0.029570879559933694
199.0,-0.02953706979771622
200.0,-0.029503260035498743
201.0,-0.029469450273281267
202.0,-0.029202421758897406
203.0,-0.02878081802505442
204.0,-0.028359214291211462
205.0,-0.02793761055736848
206.0,-0.027516006823525497
207.0,-0.027094403089682525
208.0,-0.026672799355839553
209.0,-0.02625119562199657
