time_s,theta_rad
0.0,-0.04368037923560882
1.0,-0.04307727662838446
2.0,-0.0424741740211601
3.0,-0.04187107141393574
4.0,-0.04126796880671138
5.0,-0.04066486619948702
6.0,-0.040061763592262656
7.0,-0.039458660985038294
8.0,-0.03885555837781393
9.0,-0.03825245577058957
10.0,-0.03764935316336521
11.0,-0.03704625055614085
12.0,-0.03644314794891649
13.0,-0.03584004534169213
14.0,-0.035229886522646324
15.0,-0.03460737933291298
16.0,-0.03398487214317965
17.0,-0.03336236495344631
18.0,-0.032739857763712965
19.0,-0.03211735057397963
20.0,-0.03149484338424629
21.0,-0.030872336194512955
22.0,-0.030249829004779613
23.0,-0.029627321815046275
24.0,-0.029004814625312937
25.0,-0.028382307435579603
26.0,-0.02775980024584626
27.0,-0.027137293056112923
28.0,-0.02650071656130849
29.0,-0.02585886407710239
30.0,-0.025217011592896292
31.0,-0.024575159108690195
32.0,-0.023933306624484098
33.0,-0.023291454140277997
34.0,-0.0226496016560719
35.0,-0.0220077491718658
36.0,-0.021365896687659706
37.0,-0.02072404420345361
38.0,-0.020082191719247508
39.0,-0.01944033923504141
40.0,-0.01879848675083531
41.0,-0.018154882485777093
42.0,-0.017493760412197676
43.0,-0.016832638338618255
44.0,-0.01617151626503884
45.0,-0.01551039419145942
46.0,-0.014849272117879998
47.0,-0.01418815004430058
48.0,-0.013527027970721164
49.0,-0.012865905897141747
50.0,-0.01220478382356233
51.0,-0.011543661749982908
52.0,-0.010882539676403489
53.0,-0.010221417602824074
54.0,-0.009560295529244651
55.0,-0.00857877090365723
56.0,-0.007212763215660202
57.0,-0.005846755527663153
58.0,-0.004480747839666136
59.0,-0.003114740151669098
60.0,-0.0017487324636720697
61.0,-0.0003827247756750321
62.0,0.000983282912321996
63.0,0.0023492906003190345
64.0,0.003715298288316052
65.0,0.00508130597631308
66.0,0.006447313664310117
67.0,0.007813321352307147
68.0,0.009179329040304184
69.0,0.009949523336367012
70.0,0.01058731465644448
71.0,0.011225105976521934
72.0,0.011862897296599397
73.0,0.01250068861667685
74.0,0.013138479936754313
75.0,0.013776271256831776
76.0,0.01441406257690924
77.0,0.015051853896986692
78.0,0.015689645217064153
79.0,0.01632743653714161
80.0,0.01696522785721908
81.0,0.017603019177296536
82.0,0.0180442798533837
83.0,0.017601152631514565
84.0,0.01715802540964542
85.0,0.016714898187776276
86.0,0.016271770965907133
87.0,0.015828643744037994
88.0,0.015385516522168852
89.0,0.014942389300299716
90.0,0.014499262078430572
91.0,0.014056134856561427
92.0,0.013613007634692285
93.0,0.013169880412823147
94.0,0.012726753190954003
95.0,0.012283625969084867
96.0,0.011809011666458324
97.0,0.011308158129867282
98.0,0.010807304593276246
99.0,0.010306451056685205
100.0,0.009805597520094168
101.0,0.009304743983503127
102.0,0.008803890446912084
103.0,0.00830303691032104
104.0,0.007802183373730007
105.0,0.0073013298371389646
106.0,0.006800476300547929
107.0,0.006299622763956887
108.0,0.0057987692273658445
109.0,0.005297915690774801
110.0,0.004767641421606862
111.0,0.004234425079181223
112.0,0.0037012087367555933
113.0,0.0031679923943299464
114.0,0.002634776051904308
115.0,0.002101559709478686
116.0,0.0015683433670530475
117.0,0.0010351270246274089
118.0,0.0005019106822017711
119.0,-3.130566022385966e-05
120.0,-0.0005645220026494974
121.0,-0.001097738345075136
122.0,-0.0016309546875007746
123.0,-0.0023796748335617817
124.0,-0.0037030717893171403
125.0,-0.0050264687450724994
126.0,-0.006349865700827857
127.0,-0.007673262656583175
128.0,-0.008996659612338535
129.0,-0.010320056568093892
130.0,-0.01164345352384923
131.0,-0.012966850479604587
132.0,-0.014290247435359948
133.0,-0.015613644391115306
134.0,-0.016937041346870643
135.0,-0.018260438302626
136.0,-0.01958383525838136
137.0,-0.02065047292828063
138.0,-0.021570391006262103
139.0,-0.02249030908424361
140.0,-0.023410227162225128
141.0,-0.02433014524020662
142.0,-0.02525006331818811
143.0,-0.02616998139616963
144.0,-0.027089899474151122
145.0,-0.028009817552132645
146.0,-0.028929735630114105
147.0,-0.029849653708095624
148.0,-0.030769571786077116
149.0,-0.03168948986405863
150.0,-0.032609407942040126
151.0,-0.033250106843341204
152.0,-0.03389080574464231
153.0,-0.03453150464594339
154.0,-0.03517220354724447
155.0,-0.03581290244854557
156.0,-0.036453601349846654
157.0,-0.03709430025114775
158.0,-0.037734999152448816
159.0,-0.038375698053749914
160.0,-0.03901639695505102
161.0,-0.039657095856352076
162.0,-0.040297794757653174
163.0,-0.04093849365895426
164.0,-0.04139883793952583
165.0,-0.04154356163382073
166.0,-0.04168828532811564
167.0,-0.04183300902241054
168.0,-0.04197773271670544
169.0,-0.04212245641100034
170.0,-0.042267180105295246
171.0,-0.04241190379959015
172.0,-0.04255662749388506
173.0,-0.04270135118817995
174.0,-0.042846074882474855
175.0,-0.04299079857676976
176.0,-0.043135522271064666
177.0,-0.043280245965359565
178.0,-0.042981854394916204
179.0,-0.04251729460019597
180.0,-0.04205273480547576
181.0,-0.04158817501075554
182.0,-0.04112361521603531
183.0,-0.04065905542131509
184.0,-0.04019449562659486
185.0,-0.03972993583187467
186.0,-0.03926537603715444
187.0,-0.03880081624243422
188.0,-0.03833625644771399
189.0,-0.03787169665299377
190.0,-0.03740713685827356
191.0,-0.036906947155676544
192.0,-0.03605045837431173
193.0,-0.03519396959294691
194.0,-0.034337480811582076
195.0,-0.03348099203021726
196.0,-0.032624503248852445
197.0,-0.03176801446748763
198.0,-0.03091152568612279
199.0,-0.03005503690475795
200.0,-0.02919854812339316
201.0,-0.028342059342028318
202.0,-0.027485570560663503
203.0,-0.026629081779298666
204.0,-0.02577259299793385
205.0,-0.02517719020949655
206.0,-0.024895090612572265
207.0,-0.024612991015647987
208.0,-0.02433089141872371
209.0,-0.024048791821799424
210.0,-0.02376669222487515
211.0,-0.02348459262795086
212.0,-0.023202493031026592
213.0,-0.022920393434102307
214.0,-0.022638293837178032
215.0,-0.022356194240253743
216.0,-0.02207409464332947
217.0,-0.02179199504640519
218.0,-0.021509895449480905
219.0,-0.02163385355484797
220.0,-0.021848046705168662
221.0,-0.02206223985548936
222.0,-0.022276433005810052
223.0,-0.02249062615613075
224.0,-0.022704819306451435
225.0,-0.022919012456772133
226.0,-0.02313320560709283
227.0,-0.023347398757413523
228.0,-0.02356159190773422
229.0,-0.023775785058054905
230.0,-0.023989978208375597
231.0,-0.024204171358696295
232.0,-0.024377560833385107
233.0,-0.024367333767730443
234.0,-0.024357106702075783
235.0,-0.02434687963642112
236.0,-0.02433665257076646
237.0,-0.024326425505111795
238.0,-0.024316198439457135
239.0,-0.02430597137380247
240.0,-0.024295744308147807
