time_s,theta_rad
0.0,0.04608733717566262
1.0,0.04499459568802669
2.0,0.04390185420039075
3.0,0.04280911271275481
4.0,0.04171637122511888
5.0,0.040623629737482944
6.0,0.039530888249847004
7.0,0.038438146762211065
8.0,0.03734540527457513
9.0,0.0362526637869392
10.0,0.03515992229930326
11.0,0.03406718081166732
12.0,0.032974439324031386
13.0,0.03188169783639545
14.0,0.030788956348759514
15.0,0.029696214861123577
16.0,0.02860347337348764
17.0,0.027510731885851705
18.0,0.026417990398215768
19.0,0.025325248910579832
20.0,0.024232507422943896
21.0,0.023139765935307956
22.0,0.02204702444767202
23.0,0.020954282960036083
24.0,0.01986154147240015
25.0,0.018768799984764217
26.0,0.017676058497128277
27.0,0.01658331700949234
28.0,0.01566202957367508
29.0,0.014753186383554343
30.0,0.013844343193433603
31.0,0.012935500003312863
32.0,0.012026656813192118
33.0,0.01111781362307138
34.0,0.010208970432950638
35.0,0.009300127242829897
36.0,0.008391284052709159
37.0,0.0074824408625884156
38.0,0.006573597672467679
39.0,0.005664754482346936
40.0,0.0047559112922262
41.0,0.0038470681021054564
42.0,0.002938224911984713
43.0,0.002029381721863977
44.0,0.0011205385317432318
45.0,0.0002116953416224955
46.0,-0.000697147848498246
47.0,-0.001605991038618984
48.0,-0.0025148342287397256
49.0,-0.0034236774188604636
50.0,-0.004332520608981198
51.0,-0.005241363799101943
52.0,-0.006150206989222688
53.0,-0.007059050179343423
54.0,-0.007967893369464168
55.0,-0.00871661831869434
56.0,-0.00944028128239382
57.0,-0.0101639442460933
58.0,-0.010887607209792776
59.0,-0.011611270173492255
60.0,-0.01233493313719173
61.0,-0.013058596100891218
62.0,-0.013782259064590685
63.0,-0.014505922028290173
64.0,-0.015229584991989648
65.0,-0.015953247955689115
66.0,-0.016676910919388603
67.0,-0.01740057388308807
68.0,-0.01812423684678756
69.0,-0.018847899810487033
70.0,-0.019571562774186518
71.0,-0.02029522573788599
72.0,-0.02101888870158547
73.0,-0.021742551665284937
74.0,-0.02246621462898443
75.0,-0.0231898775926839
76.0,-0.023913540556383377
77.0,-0.02463720352008286
78.0,-0.02536086648378234
79.0,-0.026084529447481807
80.0,-0.02680819241118129
81.0,-0.02753185537488077
82.0,-0.02810775522883416
83.0,-0.028646017309550336
84.0,-0.029184279390266524
85.0,-0.0297225414709827
86.0,-0.03026080355169888
87.0,-0.030799065632415062
88.0,-0.03133732771313125
89.0,-0.03187558979384742
90.0,-0.0324138518745636
91.0,-0.032952113955279784
92.0,-0.033490376035995965
93.0,-0.03402863811671214
94.0,-0.03456690019742832
95.0,-0.0351051622781445
96.0,-0.035643424358860684
97.0,-0.03618168643957686
98.0,-0.03671994852029304
99.0,-0.03725821060100922
100.0,-0.037796472681725396
101.0,-0.03833473476244159
102.0,-0.03887299684315776
103.0,-0.03941125892387394
104.0,-0.03994952100459012
105.0,-0.04048778308530631
