time_s,theta_rad
0.0,-0.03381082043742768
1.0,-0.03375191997155225
2.0,-0.033693019505676804
3.0,-0.03363411903980137
4.0,-0.033575218573925925
5.0,-0.03351631810805049
6.0,-0.03345741764217505
7.0,-0.03339851717629961
8.0,-0.03333961671042417
9.0,-0.03328071624454873
10.0,-0.033221815778673294
11.0,-0.03316291531279786
12.0,-0.033104014846922415
13.0,-0.03304511438104698
14.0,-0.032986213915171536
15.0,-0.0329273134492961
16.0,-0.032868412983420664
17.0,-0.03280951251754522
18.0,-0.032750612051669785
19.0,-0.03269171158579434
20.0,-0.032632811119918906
21.0,-0.03257391065404347
22.0,-0.03251501018816803
23.0,-0.03245610972229259
24.0,-0.03239720925641715
25.0,-0.03233830879054171
26.0,-0.032279408324666276
27.0,-0.03222050785879083
28.0,-0.032161607392915396
29.0,-0.03210270692703995
30.0,-0.03204380646116452
31.0,-0.03198490599528908
32.0,-0.03192600552941364
33.0,-0.0318671050635382
34.0,-0.03180820459766276
35.0,-0.03174930413178732
36.0,-0.03169040366591189
37.0,-0.031631503200036444
38.0,-0.03157260273416101
39.0,-0.031513702268285565
40.0,-0.03145480180241013
41.0,-0.031395901336534686
42.0,-0.03133700087065925
43.0,-0.031278100404783814
44.0,-0.03121919993890837
45.0,-0.031160299473032935
46.0,-0.031101399007157495
47.0,-0.031042498541282056
48.0,-0.030983598075406616
49.0,-0.03092469760953118
50.0,-0.03086579714365574
51.0,-0.0308068966777803
52.0,-0.03074799621190486
53.0,-0.030689095746029422
54.0,-0.030630195280153982
55.0,-0.030571294814278546
56.0,-0.030512394348403107
57.0,-0.030453493882527667
58.0,-0.030394593416652228
59.0,-0.030335692950776788
60.0,-0.030285098414625036
61.0,-0.030234642310635343
62.0,-0.030184186206645654
63.0,-0.03013373010265596
64.0,-0.03008327399866627
65.0,-0.030032817894676576
66.0,-0.029982361790686883
67.0,-0.029931905686697194
68.0,-0.0298814495827075
69.0,-0.02983099347871781
70.0,-0.029780537374728116
71.0,-0.029730081270738423
72.0,-0.029679625166748734
73.0,-0.02962916906275904
74.0,-0.02957871295876935
75.0,-0.029528256854779656
76.0,-0.029477800750789963
77.0,-0.02942734464680027
78.0,-0.02937688854281058
79.0,-0.02932643243882089
80.0,-0.029275976334831196
81.0,-0.029225520230841504
82.0,-0.02917506412685181
83.0,-0.02912460802286212
84.0,-0.02907415191887243
85.0,-0.029023695814882736
86.0,-0.028973239710893044
87.0,-0.028922783606903354
88.0,-0.028872327502913662
89.0,-0.02882187139892397
90.0,-0.028771415294934276
91.0,-0.028720959190944584
92.0,-0.02867050308695489
93.0,-0.0286200469829652
94.0,-0.02856959087897551
95.0,-0.028519134774985817
96.0,-0.028468678670996124
97.0,-0.02841822256700643
98.0,-0.028367766463016742
99.0,-0.02831731035902705
100.0,-0.028266854255037357
101.0,-0.028216398151047664
102.0,-0.02816594204705797
103.0,-0.02811548594306828
104.0,-0.02806502983907859
105.0,-0.028014573735088897
106.0,-0.027964117631099204
107.0,-0.02791366152710951
108.0,-0.02786320542311982
109.0,-0.027812749319130126
110.0,-0.027762293215140437
111.0,-0.027711837111150744
112.0,-0.027661381007161052
113.0,-0.02761092490317136
114.0,-0.027560468799181666
115.0,-0.027510012695191977
116.0,-0.027459556591202285
117.0,-0.027409100487212592
118.0,-0.0273586443832229
119.0,-0.027316360892534718
120.0,-0.027274354439585567
121.0,-0.02723234798663642
122.0,-0.027190341533687268
123.0,-0.02714833508073812
124.0,-0.02710632862778897
125.0,-0.02706432217483982
126.0,-0.02702231572189067
127.0,-0.026980309268941523
128.0,-0.026938302815992375
129.0,-0.026896296363043224
130.0,-0.026854289910094076
131.0,-0.026812283457144925
132.0,-0.026770277004195778
133.0,-0.026728270551246627
134.0,-0.02668626409829748
135.0,-0.026644257645348328
136.0,-0.02660225119239918
137.0,-0.02656024473945003
138.0,-0.02651823828650088
139.0,-0.02647623183355173
140.0,-0.026434225380602583
141.0,-0.026392218927653432
142.0,-0.026350212474704284
143.0,-0.026308206021755133
144.0,-0.026266199568805985
145.0,-0.026224193115856834
146.0,-0.026182186662907687
147.0,-0.026140180209958536
148.0,-0.026098173757009388
149.0,-0.02605616730406024
150.0,-0.02601416085111109
151.0,-0.02597215439816194
152.0,-0.02593014794521279
153.0,-0.025888141492263643
154.0,-0.025846135039314492
155.0,-0.02580412858636534
156.0,-0.025762122133416193
157.0,-0.025720115680467046
158.0,-0.025678109227517894
159.0,-0.025636102774568747
160.0,-0.025594096321619596
161.0,-0.025552089868670448
162.0,-0.025510083415721297
163.0,-0.02546807696277215
164.0,-0.025426070509823
165.0,-0.02538406405687385
166.0,-0.025342057603924703
167.0,-0.025300051150975552
168.0,-0.0252580446980264
169.0,-0.025216038245077253
170.0,-0.025174031792128106
171.0,-0.025132025339178955
172.0,-0.025090018886229807
173.0,-0.025048012433280656
174.0,-0.025006005980331508
175.0,-0.024963999527382357
176.0,-0.02492199307443321
177.0,-0.02487998662148406
178.0,-0.02484601790720877
179.0,-0.024812464938037303
180.0,-0.024778911968865835
181.0,-0.024745358999694368
182.0,-0.024711806030522903
183.0,-0.024678253061351435
184.0,-0.024644700092179967
185.0,-0.0246111471230085
186.0,-0.02457759415383703
187.0,-0.024544041184665563
188.0,-0.024510488215494095
189.0,-0.024476935246322627
190.0,-0.02444338227715116
191.0,-0.024409829307979695
192.0,-0.024376276338808227
193.0,-0.02434272336963676
194.0,-0.02430917040046529
195.0,-0.024275617431293823
196.0,-0.024242064462122355
197.0,-0.02420851149295089
198.0,-0.024174958523779422
199.0,-0.024141405554607955
200.0,-0.024107852585436487
201.0,-0.02407429961626502
202.0,-0.02404074664709355
203.0,-0.024007193677922083
204.0,-0.023973640708750618
205.0,-0.02394008773957915
206.0,-0.023906534770407682
207.0,-0.023872981801236214
208.0,-0.023839428832064746
209.0,-0.02380587586289328
210.0,-0.02377232289372181
211.0,-0.023738769924550342
212.0,-0.023705216955378874
213.0,-0.023671663986207406
214.0,-0.02363811101703594
215.0,-0.02360455804786447
216.0,-0.023571005078693006
217.0,-0.023537452109521538
218.0,-0.02350389914035007
219.0,-0.023470346171178602
220.0,-0.023436793202007134
221.0,-0.023403240232835666
222.0,-0.023369687263664198
223.0,-0.02333613429449273
224.0,-0.023302581325321266
225.0,-0.023269028356149798
226.0,-0.02323547538697833
227.0,-0.023201922417806862
228.0,-0.023168369448635394
229.0,-0.02313481647946393
230.0,-0.02310126351029246
231.0,-0.023067710541120993
232.0,-0.023034157571949525
233.0,-0.023000604602778058
234.0,-0.02296705163360659
235.0,-0.02293349866443512
236.0,-0.022899945695263654
237.0,-0.022961986727575105
238.0,-0.02303073611086781
239.0,-0.023099485494160518
240.0,-0.023168234877453224
241.0,-0.02323698426074593
242.0,-0.023305733644038637
243.0,-0.023374483027331344
244.0,-0.02344323241062405
245.0,-0.023511981793916753
246.0,-0.023580731177209463
247.0,-0.02364948056050217
248.0,-0.023718229943794876
249.0,-0.023786979327087582
250.0,-0.02385572871038029
251.0,-0.023924478093673
252.0,-0.023993227476965705
253.0,-0.024061976860258405
254.0,-0.024130726243551115
255.0,-0.02419947562684382
256.0,-0.024268225010136528
257.0,-0.024336974393429234
258.0,-0.02440572377672194
259.0,-0.024474473160014647
260.0,-0.02454322254330735
261.0,-0.024611971926600057
262.0,-0.024680721309892767
263.0,-0.024749470693185473
264.0,-0.02481822007647818
265.0,-0.024886969459770886
266.0,-0.024955718843063593
267.0,-0.0250244682263563
268.0,-0.025093217609649006
269.0,-0.025161966992941712
270.0,-0.02523071637623442
271.0,-0.025299465759527125
272.0,-0.025368215142819832
273.0,-0.025436964526112542
274.0,-0.02550571390940525
275.0,-0.025574463292697955
276.0,-0.025643212675990658
277.0,-0.025711962059283364
278.0,-0.02578071144257607
279.0,-0.025849460825868777
280.0,-0.025918210209161484
281.0,-0.025986959592454194
282.0,-0.0260557089757469
283.0,-0.026124458359039607
284.0,-0.02619320774233231
285.0,-0.026261957125625016
286.0,-0.026330706508917723
287.0,-0.02639945589221043
288.0,-0.026468205275503136
289.0,-0.026536954658795846
290.0,-0.026605704042088552
291.0,-0.026674453425381255
292.0,-0.026743202808673962
293.0,-0.02681195219196667
294.0,-0.026880701575259378
295.0,-0.02694945095855208
296.0,-0.02690320077408305
297.0,-0.02684668277106386
298.0,-0.026790164768044668
299.0,-0.02673364676502548
300.0,-0.02667712876200629
301.0,-0.0266206107589871
302.0,-0.026564092755967907
303.0,-0.02650757475294872
304.0,-0.02645105674992953
305.0,-0.026394538746910338
306.0,-0.02633802074389115
307.0,-0.02628150274087196
308.0,-0.026224984737852768
309.0,-0.026168466734833577
310.0,-0.026111948731814386
311.0,-0.026055430728795195
312.0,-0.02599891272577601
313.0,-0.02594239472275682
314.0,-0.02588587671973763
315.0,-0.025829358716718438
316.0,-0.025772840713699247
317.0,-0.025716322710680056
318.0,-0.02565980470766087
319.0,-0.025603286704641678
320.0,-0.025546768701622487
321.0,-0.025490250698603296
322.0,-0.025433732695584108
323.0,-0.025377214692564917
324.0,-0.02532069668954573
325.0,-0.02526417868652654
326.0,-0.025207660683507348
327.0,-0.025151142680488157
328.0,-0.025094624677468966
329.0,-0.025038106674449775
330.0,-0.02498158867143059
331.0,-0.0249250706684114
332.0,-0.02486855266539221
333.0,-0.024812034662373018
334.0,-0.024755516659353827
335.0,-0.02469899865633464
336.0,-0.024642480653315448
337.0,-0.024585962650296257
338.0,-0.02452944464727707
339.0,-0.02447292664425788
340.0,-0.024416408641238688
341.0,-0.0243598906382195
342.0,-0.02430337263520031
343.0,-0.024246854632181118
344.0,-0.024190336629161927
345.0,-0.024133818626142736
