Urban,4.237242003,7.786731737
Urban,1.287471251,6.338031087
Urban,1.260468253,5.334419637
Urban,1.233465254,4.330808187
Urban,1.20758738,3.36901388
Urban,5.465060169,9.790699225
Urban,0.172472432,8.97238613
Urban,11.95995642,15.13745826
Urban,10.66313741,13.21792009
Urban,9.260781681,11.7834483
Urban,6.160387385,11.14750268
Urban,13.67802221,17.28703447
Urban,12.22481083,16.166185
Urban,7.427278072,14.15846204
Urban,16.4110939,19.49678213
Urban,16.2317558,18.17382461
Urban,21.16151753,20.89842479
Urban,27.66799454,17.16096734
Urban,27.012553,19.24547695
Urban,24.13763374,18.17465803
Urban,26.92119286,15.84992488
Urban,29.57611268,14.62078421
Urban,28.948668,20.68418672
Urban,32.54636753,13.35822317
Urban,33.80213555,12.17792067
Urban,35.20858191,10.93102551
Urban,36.95655727,9.78472634
Urban,36.92955428,8.78111489
Urban,36.90255128,7.777503439
Urban,36.02763269,6.741942013
Urban,39.72479326,5.631193665
Urban,38.33863932,4.484066277
Urban,39.80787391,3.122180914
Urban,48.39757779,16.29544935
Urban,47.76885797,14.96560167
Urban,47.74080486,13.92296089
Urban,47.71215167,12.85801763
Urban,47.68514868,11.85440618
Urban,47.65904578,10.88424844
Urban,50.63529057,20.75815922
Urban,50.2652852,19.59919123
Urban,49.05465076,18.67908905
Urban,49.02764776,17.6754776
Urban,47.63024258,9.813729561
Urban,46.40835689,8.475455947
Urban,46.38135389,7.471844496
Urban,46.35435089,6.468233046
Urban,53.08541087,25.24478692
Urban,52.75541172,23.99860478
Urban,51.54342713,23.02832203
Urban,51.51642414,22.02471058
Urban,47.50422858,5.13020946
Urban,47.47947584,4.210232297
Urban,56.25376271,32.81400247
Urban,55.3296976,31.52594068
Urban,55.3026946,30.52232923
Urban,55.2756916,29.51871778
Urban,55.2486886,28.51510633
Urban,54.03895426,27.62845787
Urban,54.01195126,26.62484642
Urban,57.83769754,36.58964943
Urban,57.79237107,34.90501593
Urban,53.02184131,33.90090442
Urban,60.83420887,40.22074512
Urban,60.2707963,38.86953118
Urban,59.05701151,37.832341
Urban,63.2694793,42.5813406
Urban,60.3419042,41.51237467
Urban,64.76589548,44.32852073
Urban,67.96537578,45.70881985
Urban,71.4018824,47.08356835
Urban,73.56887304,48.28812711
Urban,77.16674133,49.78346504
Urban,86.68642348,50.99716232
Urban,92.65324235,52.38820742
Urban,97.42489723,53.43413607
Urban,110.4693708,53.4271478
Urban,115.5757879,52.22335578
Urban,114.5622378,51.28236587
Urban,116.5481959,50.16606065
Urban,116.2808662,49.0453362
Urban,115.5396339,47.94128859
Urban,118.5952482,46.91291189
Urban,118.5682452,45.90930044
Urban,118.5412422,44.90568899
Urban,118.5142392,43.90207754
Urban,118.4872362,42.89846609
Urban,117.7453288,41.7693282
Urban,121.1409968,33.34545638
Urban,120.0819883,40.46488335
Urban,119.5722317,39.14898722
Urban,119.5452287,38.14537577
Urban,121.8875888,37.05280444
Urban,121.8605858,36.04919299
Urban,121.8335828,35.04558154
Urban,117.0774546,34.57672947
Urban,122.2630305,31.41776756
Urban,121.6985678,30.02752429
Urban,121.6715648,29.02391284
Urban,121.6445618,28.02030139
Urban,121.6175588,27.01668994
Urban,121.5905558,26.01307849
Urban,121.5635528,25.00946703
Urban,120.7446119,23.95559167
Urban,122.6918281,22.86855429
Urban,122.6648251,21.86494284
Urban,122.6378221,20.86133139
Urban,122.6108191,19.85771994
Urban,123.7678976,18.78732607
Urban,123.7408946,17.78371462
Urban,123.7138916,16.78010317
Urban,122.8939756,15.68998628
Urban,124.6031904,14.57225799
Urban,124.8104384,13.45994697
Urban,124.7834354,12.45633552
Urban,124.7564324,11.45272407
Urban,125.914636,10.42414735
Urban,125.887633,9.420535897
Urban,125.068467,8.358297103
Urban,127.5160424,6.978593293
Urban,126.9706783,5.598573971
Urban,129.3135634,4.525517309
Urban,129.2865604,3.521905859
Urban,129.2595574,2.518294409
Urban,128.0496731,1.626070328
Urban,132.7747478,0.940769226
Urban,142.9398579,4.105298769
Urban,138.7518616,2.714441191
Urban,137.5502281,2.128876164
Urban,153.0554812,5.43057094
Urban,159.0159244,6.584652224
Urban,169.1383922,8.164312019
Urban,167.5289572,5.64466659
Urban,172.7883231,13.5980589
Urban,172.2108271,12.16861607
Urban,172.1838242,11.16500462
Urban,172.1568212,10.16139317
Urban,172.8431474,9.224764157
Urban,172.3021873,6.74913924
Urban,183.3048091,8.229692544
Urban,181.7451359,13.92593622
Urban,181.7181329,12.92232477
Urban,182.871761,11.72369166
Urban,182.844758,10.72008021
Urban,182.817755,9.71646876
Urban,183.9233778,6.733637519
Urban,183.8963748,5.730026069
Urban,186.2355096,4.517578928
Urban,185.4949523,3.43862161
Urban,189.3363539,2.231908439
Urban,195.7966606,0.976087434
Urban,205.0948539,0.254230486
Urban,219.3291846,0.395121132
Urban,233.5563895,0.271169867
Urban,246.0382529,3.394823565
Urban,244.2759799,2.006312553
Urban,244.2503271,1.052881676
Urban,250.0747239,11.84228816
Urban,250.9422488,10.50423481
Urban,248.0329971,9.416685469
Urban,248.0059941,8.413074019
Urban,247.9789911,7.409462569
Urban,247.9519881,6.405851119
Urban,247.9249851,5.402239668
Urban,247.9069831,4.733165368
Urban,252.3039714,16.34017654
Urban,251.7387087,14.92019663
Urban,251.7112556,13.89985832
Urban,251.6862778,12.97151773
Urban,255.9804706,20.31275911
Urban,255.4025655,18.86811004
Urban,253.0037991,17.86424856
Urban,258.4086948,22.41146944
Urban,257.8395862,21.29375441
Urban,267.2853851,19.76145925
Urban,267.2501312,18.45118874
Urban,267.2231282,17.44757729
Urban,268.3842571,16.52772514
Urban,268.3572541,15.52411369
Urban,268.3302511,14.52050224
Urban,269.4876297,13.46125962
